CNPJ,IVA
17846656000122,S0
47382009000178,S0
54710550000123,S0
62343597000124,S0
53797902000167,S0
07532827000195,S0
53362764000193,S0
07036880000103,S0
35235867000100,S0
60567535000170,ZZ
17511628000154,S0
56983187000145,S0
49038718000166,S0
06932629000156,S0
49802577000106,ZZ
37382249000119,ZZ
37048790000195,ZZ
41900819000192,ZZ
07041060000100,ZZ
18097166000133,S0
08664106000100,S0
60860087015805,ZZ
20801598000125,ZZ
04069709000102,S0
36228640000109,ZZ
28630316000186,ZZ
